cdm_id,fy1c_norad_id,other_norad_id,other_name,other_type,miss_distance_km,collision_probability,fy_perigee,fy_apogee,fy_inclination,other_perigee,other_apogee,other_inclination,other_country
1405012548,29975,34346,COSMOS 2251 DEB,DEBRIS,231.0,0.0001504818,817.992,982.809,99.3151,740.487,1045.695,73.9941,CIS
1405009868,32137,59806,OBJECT B,UNKNOWN,771.0,0.0003191757,491.469,738.445,98.457,512.507,516.595,97.3899,PRC
1406957218,30380,33063,ORBCOMM FM 39,PAYLOAD,67.0,0.003949294,596.172,848.259,98.8881,621.329,630.892,48.4405,ORB
1406227574,30380,33063,ORBCOMM FM 39,PAYLOAD,66.0,0.0004500522,596.172,848.259,98.8881,621.329,630.892,48.4405,ORB
1407515531,30380,33063,ORBCOMM FM 39,PAYLOAD,149.0,0.0003158504,596.172,848.259,98.8881,621.329,630.892,48.4405,ORB
1407509275,29962,10120,COSMOS 923,PAYLOAD,98.0,0.0003181767,788.736,948.809,98.7662,773.379,790.8,74.0469,CIS
1407157846,29962,10120,COSMOS 923,PAYLOAD,36.0,0.001220804,788.736,948.809,98.7662,773.379,790.8,74.0469,CIS
1406879406,29962,10120,COSMOS 923,PAYLOAD,55.0,0.005394175,788.736,948.809,98.7662,773.379,790.8,74.0469,CIS
1406204148,29962,10120,COSMOS 923,PAYLOAD,41.0,0.00496597,788.736,948.809,98.7662,773.379,790.8,74.0469,CIS
1405463792,29962,10120,COSMOS 923,PAYLOAD,37.0,0.002318691,788.736,948.809,98.7662,773.379,790.8,74.0469,CIS
1404343095,29962,10120,COSMOS 923,PAYLOAD,41.0,0.0003627607,788.736,948.809,98.7662,773.379,790.8,74.0469,CIS
1405004378,29962,10120,COSMOS 923,PAYLOAD,27.0,0.003731962,788.736,948.809,98.7662,773.379,790.8,74.0469,CIS
1403505003,29962,10120,COSMOS 923,PAYLOAD,32.0,0.001033905,788.736,948.809,98.7662,773.379,790.8,74.0469,CIS
1402990791,29962,10120,COSMOS 923,PAYLOAD,31.0,0.00101004,788.736,948.809,98.7662,773.379,790.8,74.0469,CIS
1402483842,29962,10120,COSMOS 923,PAYLOAD,54.0,0.0003129442,788.736,948.809,98.7662,773.379,790.8,74.0469,CIS
1408115206,41822,54562,CZ-6A DEB,DEBRIS,149.0,0.0002630428,765.492,845.982,98.7169,740.254,831.307,98.6984,PRC
1403506821,30718,6392,METEOR 1-14,PAYLOAD,609.0,0.0001327501,765.788,848.719,98.8806,826.979,904.703,81.2378,CIS
1403507113,30822,4419,METEOR 1-5,PAYLOAD,149.0,0.0008395707,801.389,906.887,98.7173,809.686,866.987,81.215,CIS
1404345303,30822,4419,METEOR 1-5,PAYLOAD,164.0,0.0001075145,801.389,906.887,98.7173,809.686,866.987,81.215,CIS
1405006555,30822,4419,METEOR 1-5,PAYLOAD,161.0,0.0001209289,801.389,906.887,98.7173,809.686,866.987,81.215,CIS
1406880363,30392,82617,UNKNOWN,UNKNOWN,234.0,0.0006678562,737.242,996.472,98.7743,699.096,754.71,74.0276,
1406205144,30392,82617,UNKNOWN,UNKNOWN,331.0,0.0004885311,737.242,996.472,98.7743,699.096,754.71,74.0276,
1409338941,30392,82617,UNKNOWN,UNKNOWN,13.0,0.00466299,737.242,996.472,98.7743,699.096,754.71,74.0276,
1408860740,30392,82617,UNKNOWN,UNKNOWN,71.0,0.002316286,737.242,996.472,98.7743,699.096,754.71,74.0276,
1405464762,30392,82617,UNKNOWN,UNKNOWN,524.0,0.0003975845,737.242,996.472,98.7743,699.096,754.71,74.0276,
1405005383,30392,82617,UNKNOWN,UNKNOWN,806.0,0.0002078107,737.242,996.472,98.7743,699.096,754.71,74.0276,
1408962537,31262,57541,METEOR 1-17 DEB,DEBRIS,51.0,0.0002319607,788.789,867.348,98.9939,801.759,819.354,81.2063,CIS
1408128043,31262,57541,METEOR 1-17 DEB,DEBRIS,50.0,0.0002271771,788.789,867.348,98.9939,801.759,819.354,81.2063,CIS
1409376993,31540,60770,CZ-6A DEB,DEBRIS,341.0,0.0001629604,549.044,791.231,99.0705,740.521,794.241,89.0185,PRC
1409887472,30056,56605,CZ-6A DEB,DEBRIS,70.0,0.0001411331,762.861,1202.514,98.3347,764.592,767.794,98.7666,PRC
1407010725,31660,60652,CZ-6A DEB,DEBRIS,189.0,0.0001307293,726.128,873.273,98.5093,695.398,773.892,88.9249,PRC
1406988603,31660,60652,CZ-6A DEB,DEBRIS,189.0,0.0001307294,726.128,873.273,98.5093,695.398,773.892,88.9249,PRC
1409342375,31660,60652,CZ-6A DEB,DEBRIS,180.0,0.0002033787,726.128,873.273,98.5093,695.398,773.892,88.9249,PRC
1409376320,31660,60652,CZ-6A DEB,DEBRIS,210.0,0.0001629744,726.128,873.273,98.5093,695.398,773.892,88.9249,PRC
1408923180,31660,60652,CZ-6A DEB,DEBRIS,225.0,0.0001439902,726.128,873.273,98.5093,695.398,773.892,88.9249,PRC
1408149352,31660,60652,CZ-6A DEB,DEBRIS,262.0,0.0001067214,726.128,873.273,98.5093,695.398,773.892,88.9249,PRC
1409854531,30044,14398,SL-8 DEB *,DEBRIS,298.0,0.0001149466,658.377,770.886,98.2131,683.978,690.771,74.0414,CIS
1408054865,29906,4070,COSMOS 292,PAYLOAD,806.0,0.0001325857,693.247,742.915,98.7071,700.927,714.979,74.0498,CIS
1410588922,33718,22292,SL-16 DEB,DEBRIS,61.0,0.0001048027,793.546,933.031,99.6563,840.907,1150.743,71.0046,CIS
1412902590,33718,22292,SL-16 DEB,DEBRIS,41.0,0.000392215,793.546,933.031,99.6563,840.907,1150.743,71.0046,CIS
1411090578,33718,22292,SL-16 DEB,DEBRIS,58.0,0.0001510224,793.546,933.031,99.6563,840.907,1150.743,71.0046,CIS
1411764286,33718,22292,SL-16 DEB,DEBRIS,51.0,0.0001722341,793.546,933.031,99.6563,840.907,1150.743,71.0046,CIS
1409377614,30726,60889,CZ-6A DEB,DEBRIS,69.0,0.0001204577,802.961,916.559,99.2668,788.967,840.636,88.9991,PRC
1411083997,30214,7817,THOR BURNER 2 R/B,ROCKET BODY,581.0,0.0001473511,771.637,797.677,98.7098,788.297,863.625,98.6791,US
1411755904,30214,7817,THOR BURNER 2 R/B,ROCKET BODY,596.0,0.000136135,771.637,797.677,98.7098,788.297,863.625,98.6791,US
1410368679,30331,29299,METEOR 2-17 DEB,DEBRIS,76.0,0.0002121307,831.476,969.858,98.9348,847.518,895.096,82.5302,CIS
